,LNCAP_Hypoxia_S1,LNCAP_Hypoxia_S2,LNCAP_Normoxia_S1,LNCAP_Normoxia_S2,PC3_Hypoxia_S1,PC3_Hypoxia_S2,PC3_Normoxia_S1,PC3_Normoxia_S2
ENSG00000134744,2868.424912,2989.485132,2545.943658,2250.886756,2937.197296,2637.377722,2208.902058,2378.983645
ENSG00000134748,2662.557096,2738.287998,3168.84645,3024.122245,1257.357537,1334.748671,1277.58119,1120.048797
ENSG00000134755,7085.146778,7458.880237,3100.793634,2820.731504,725.1560522,571.0154744,319.3952975,358.4156151
ENSG00000134758,1085.335129,1107.181273,1306.175017,1083.581706,310.2406762,346.1781313,253.7252364,297.93298
ENSG00000134759,1043.063604,1093.784093,1515.821596,1467.569398,747.8565894,742.3201167,698.4906507,710.1109374
ENSG00000134760,18.66534871,18.66035854,7.683382456,8.328500167,1.26114096,0,0,0
ENSG00000134762,588.5074653,601.9161805,393.4989443,349.3586649,215.6551042,164.1669489,208.9501946,204.9689299
ENSG00000134765,75.21037569,84.68931951,19.20845614,19.72539513,1.26114096,0,0,0
ENSG00000134769,841.0386537,804.7877707,301.8471679,254.2384261,1246.007269,1227.68327,620.8805784,607.066448
ENSG00000134775,113.6390348,124.4023902,181.6571138,158.6798453,509.5009479,392.5731386,471.6304393,501.7818611
ENSG00000134779,1781.44284,1722.973105,1508.687026,1452.665766,2630.740043,2776.562744,1865.626738,1981.366322
ENSG00000134780,156.4595407,163.6369902,169.034414,179.2819246,369.5143014,421.1239123,632.8205895,528.6630322
ENSG00000134802,2.195923378,0,2.744065163,0.876684228,643.1818897,603.1350948,128.3551196,105.2845869
ENSG00000134809,208.6127209,244.9770146,350.1427148,419.4934031,271.1453065,228.4061897,379.0953531,388.6569326
ENSG00000134812,1.097961689,0,0.548813033,0,0,3.568846715,2.985002781,2.240097594
ENSG00000134815,363.9742999,358.8530488,394.5965704,396.6996132,798.3022278,852.9543648,1026.840957,938.600892
ENSG00000134817,0.548980844,0.956941463,0,0.438342114,0,0,0,0
ENSG00000134824,13050.92162,12723.01523,9801.800761,12092.98224,1654.61694,1845.093752,1546.23144,1526.62651
ENSG00000134825,490.2398941,464.1166098,591.0716361,755.7018046,1000.084781,1263.371737,1113.406037,1047.245625
ENSG00000134827,0.548980844,0.956941463,0,0.876684228,1956.029629,1634.531795,2259.647105,2363.302962
ENSG00000134830,1.097961689,0,1.097626065,0,0,0,2.985002781,0
ENSG00000134851,2162.435546,2282.783861,2310.502867,2091.330226,4123.93094,3722.307124,1925.326793,1950.004956
ENSG00000134852,1468.523759,1523.92928,1498.808392,1351.408738,3664.875631,3283.338978,2650.682469,2993.890435
ENSG00000134853,0,0.956941463,0,0,29.00624209,17.84423357,29.85002781,44.80195189
ENSG00000134864,0,1.435412195,6.585756391,1.315026342,8.827986722,7.13769343,14.9250139,10.08043917
ENSG00000134871,26.35108053,22.48812439,27.98946466,35.50571124,6251.47574,6313.289838,4190.943904,4012.014791
ENSG00000134873,0,0.478470732,1.646439098,1.753368456,3.783422881,3.568846715,5.970005561,13.44058557
ENSG00000134874,1.646942533,0.956941463,3.292878195,2.630052684,36.57308785,46.39500729,92.5350862,45.92200068
ENSG00000134882,1298.888678,1297.134154,907.7367558,941.558861,699.9332329,660.2366422,698.4906507,564.5045938
ENSG00000134884,5230.140505,4866.047341,3745.100134,3259.950302,1020.263037,781.5774305,746.2506952,925.1603064
ENSG00000134897,266.2557096,285.1685561,300.7495418,252.9233998,107.1969816,128.4784817,152.2351418,123.2053677
ENSG00000134899,36.23273573,31.10059756,14.81795188,14.90363188,10.08912768,21.41308029,20.89501946,11.20048797
ENSG00000134900,1410.88077,1425.84278,1779.251852,1405.76316,1599.126738,1538.172934,1617.871507,1593.829438
ENSG00000134901,267.3536712,255.0249,288.1268421,242.4031891,256.0116149,224.837343,313.425292,348.3351759
ENSG00000134905,848.1754047,879.4292049,1345.140743,1549.977715,746.5954485,706.6316495,755.2057035,691.0701078
ENSG00000134909,1711.173292,1661.728851,2062.988189,1914.678354,1259.879819,1095.635941,531.3304949,629.467424
ENSG00000134910,8440.580483,9006.254583,10474.09673,8698.899253,3867.919325,2965.71162,2734.262547,3017.411459
ENSG00000134917,1.097961689,0.956941463,1.646439098,4.383421141,1.26114096,3.568846715,23.88002224,6.720292783
ENSG00000134940,19.7633104,18.1818878,26.34302556,31.1222901,11.35026864,3.568846715,23.88002224,12.32053677
ENSG00000134954,13.17554027,9.569414634,57.62536842,51.72436946,10444.76943,9346.809546,4805.854477,4750.126949
ENSG00000134955,45.56541009,36.84224634,54.88130326,40.32747449,70.62389377,64.23924087,104.4750973,98.56429415
ENSG00000134962,12.62655942,18.1818878,20.3060822,21.47876359,26.48396017,24.981927,47.76004449,39.2017079
ENSG00000134970,6418.135052,6661.747998,7905.102921,5999.150173,5712.96855,5003.523094,2456.657288,2891.965994
ENSG00000134982,1582.162794,1725.365459,1165.130068,969.1744142,3086.01193,2376.851912,2229.797077,2300.580229
ENSG00000134986,346.4069128,355.9822244,126.7758105,103.0103968,234.5722186,182.0111825,119.4001112,88.48385497
ENSG00000134987,961.2654586,1079.908441,1352.275312,1115.58068,1915.673119,1809.405284,2092.486949,2181.855057
ENSG00000134996,1509.148341,1537.804932,1537.774117,1543.840926,837.3975976,838.678978,653.715609,584.6654721
ENSG00000135002,1319.200969,1265.555085,1322.090595,1251.028393,218.1773861,203.4242627,274.6202558,320.333956
ENSG00000135018,4008.109145,4142.121124,4844.921451,3945.517369,7014.466021,6513.145254,5975.975567,6360.757119
ENSG00000135040,1284.615176,1249.28708,1194.765972,1035.364073,1333.025995,1145.599795,880.5758203,1001.323625
ENSG00000135045,360.6804148,346.4128098,451.6731258,459.3825355,451.4884638,517.4827736,411.9303837,411.0579085
ENSG00000135046,79.0532416,81.81849512,58.17418145,61.36789597,9234.074111,7912.133167,7134.156646,7196.313522
ENSG00000135047,1568.438273,1578.474944,2321.479128,2627.860974,1590.298751,1334.748671,1868.611741,1756.236514
ENSG00000135048,1188.543528,1209.57401,812.7921012,864.4106489,1947.201643,1484.640233,1328.326237,1507.585681
ENSG00000135049,813.5896115,858.8549634,810.5968491,682.9370137,1333.025995,1252.665197,994.0059259,889.3187449
ENSG00000135052,9658.219996,9546.448039,12492.08225,11706.80284,1549.94224,1249.09635,1373.101279,1442.622851
ENSG00000135063,105.953303,101.4357951,29.08709073,20.60207936,66.84047089,57.10154744,68.65506395,59.36258625
ENSG00000135069,3223.066538,3050.250915,6073.713831,6520.338946,350.597187,367.5912116,459.6904282,437.9390797
ENSG00000135070,1035.377873,1070.817498,1089.942683,907.3681761,2416.34608,2355.438832,1274.596187,1395.580801
ENSG00000135074,1.646942533,1.913882927,0.548813033,1.753368456,8782.585647,8747.243298,6170.000748,6600.447562
ENSG00000135077,0.548980844,1.913882927,0,1.753368456,2.522281921,3.568846715,2.985002781,3.360146391
ENSG00000135083,2.744904222,5.741648781,4.39050426,15.78031611,844.9644434,788.715124,588.0455478,623.86718
ENSG00000135090,6477.424984,6660.791056,4658.873833,3788.590892,486.8004107,399.7108321,465.6604338,453.6197628
ENSG00000135093,695.5587299,704.7873878,757.910798,632.9660127,360.6863146,389.0042919,399.9903726,495.0615683
ENSG00000135094,5.489808444,2.87082439,4.939317293,5.260105369,1.26114096,7.13769343,14.9250139,4.480195189
ENSG00000135097,51.60419938,39.2346,27.98946466,19.28705302,22.70053728,39.25731386,44.77504171,50.40219587
ENSG00000135100,0,0,0,0.438342114,2.522281921,0,0,2.240097594
ENSG00000135108,1086.433091,1156.463759,1203.54698,1185.715419,1349.420827,1199.132496,1023.855954,995.7233807
ENSG00000135111,17765.02013,18283.3236,7096.152511,6149.93986,380.86457,406.8485255,199.9951863,183.6880027
ENSG00000135114,251.4332268,284.6900854,660.2220782,632.5276706,203.0436946,167.7357956,223.8752085,209.4491251
ENSG00000135116,38.42865911,26.31589024,34.02640802,54.35442214,10.08912768,17.84423357,2.985002781,25.76112233
ENSG00000135119,86.18999258,82.29696585,110.3114195,132.3793184,145.0312104,121.3407883,223.8752085,260.9713697
ENSG00000135124,243.1985141,235.4076,290.8709073,323.4964802,213.1328223,253.3881167,307.4552864,290.0926385
ENSG00000135127,277.2353264,270.8144341,282.0898987,365.5773231,5.044563841,10.70654014,14.9250139,20.16087835
ENSG00000135144,0,0.956941463,0.548813033,1.315026342,65.57932993,64.23924087,32.83503059,28.00121993
ENSG00000135148,1325.788739,1375.603354,917.0665774,909.1215445,1223.306731,1070.654014,1041.76597,1158.130456
ENSG00000135164,1470.170701,1561.249998,1425.816259,1198.865682,3034.30515,2944.29854,1925.326793,1991.446761
ENSG00000135185,75.21037569,84.68931951,87.26127218,88.98344915,229.5276548,182.0111825,217.905203,161.2870268
ENSG00000135205,32.93885067,31.10059756,41.70979047,35.50571124,44.13993361,53.53270072,29.85002781,35.84156151
ENSG00000135211,264.0597862,261.2450195,338.0688281,303.3327429,288.8012799,292.6454306,289.5452697,225.1298082
ENSG00000135218,0,0,6.036943358,3.068394798,0,3.568846715,0,0
ENSG00000135220,0,0.478470732,0.548813033,0.438342114,0,0,0,0
ENSG00000135226,65.32872049,83.25390732,182.2059268,157.3648189,0,0,0,0
ENSG00000135241,1007.92883,1011.008656,886.8818606,735.9764095,1683.623182,1456.08946,901.4708397,955.401624
ENSG00000135245,977.1859031,875.601439,428.0741654,406.3431397,3336.978981,2865.783912,244.770228,290.0926385
ENSG00000135248,3.842865911,9.090943902,12.62269975,8.328500167,3.783422881,3.568846715,0,5.600243986
ENSG00000135249,390.8743612,397.1307073,526.3116982,530.8323001,797.0410869,756.5955035,874.6058147,891.5588425
ENSG00000135250,2592.287547,2620.584198,2705.099437,2254.831835,1055.574984,895.7805254,731.3256812,859.0774274
ENSG00000135253,98.816552,101.4357951,89.45652431,101.6953705,21.43939632,17.84423357,20.89501946,19.04082955
ENSG00000135269,912.4061635,897.132622,882.4913563,995.474941,1991.341576,1798.698744,1122.361046,1301.496702
ENSG00000135272,0,0.478470732,0.548813033,0,838.6587386,835.1101313,1029.825959,903.8793793
ENSG00000135297,730.693504,753.5914024,817.1826055,707.9225142,416.1765169,478.2254598,519.3904838,540.983569
ENSG00000135298,0,0,0,0,27.74510113,46.39500729,29.85002781,30.24131752
ENSG00000135299,57.09400782,65.07201951,131.1663148,109.5855285,75.66845762,53.53270072,62.68505839,101.9244405
ENSG00000135314,58.74095036,72.24908049,64.75993784,67.06634345,66.84047089,85.65232115,107.4601001,87.36380618
ENSG00000135315,302.4884453,310.5275049,328.7390065,244.1565575,440.1381951,446.1058393,486.5554532,409.9378598
ENSG00000135316,3613.940899,3821.067263,3607.348063,3029.38235,910.5437733,728.0447298,743.2656924,787.3943044
ENSG00000135317,296.449656,308.613622,273.3088902,254.2384261,344.2914822,331.9027445,352.2303281,319.2139072
ENSG00000135318,0.548980844,1.435412195,3.841691228,2.630052684,5565.415058,4860.769226,2647.697466,2730.678967
ENSG00000135324,0,0,0.548813033,1.315026342,5.044563841,0,8.955008342,11.20048797
ENSG00000135333,489.1419324,507.6574463,1151.409742,943.7505715,431.3102084,289.0765839,289.5452697,276.6520529
ENSG00000135334,286.5680008,311.9629171,328.1901935,289.3057953,588.9528284,638.8235619,399.9903726,468.1803972
ENSG00000135336,401.3049973,407.6570634,624.000418,458.5058513,1449.050963,1534.604087,1423.846326,1547.907438
ENSG00000135338,83.9940692,78.4692,164.0950967,143.7762134,218.1773861,206.9931095,194.0251807,185.9281003
ENSG00000135341,653.2872049,608.6147707,580.6441884,502.3400627,1415.000157,1431.107533,1253.701168,1285.816019
ENSG00000135362,0.548980844,2.392353659,2.19525213,1.315026342,158.903761,132.0473284,149.250139,178.0877587
ENSG00000135363,31.29190813,18.1818878,13.17151278,8.766842281,12.6114096,10.70654014,14.9250139,13.44058557
ENSG00000135365,2556.603793,2240.199966,1575.093403,1657.371533,1814.781842,1723.752963,823.8607674,1089.80748
ENSG00000135372,2400.693233,2446.420851,2690.830299,2595.423657,1625.610698,1641.669489,1916.371785,1849.200564
ENSG00000135373,19191.27236,19542.65857,14827.83051,11234.27004,25.22281921,42.82616058,14.9250139,25.76112233
ENSG00000135374,34.5857932,27.75130244,28.53827769,32.87565855,0,3.568846715,0,0
ENSG00000135378,2972.731273,3181.830366,1859.378554,1831.393353,363.2085966,253.3881167,185.0701724,216.1694178
ENSG00000135387,10400.99108,10605.30377,13162.18296,11050.16635,5293.00861,4971.403474,4632.724315,4967.416415
ENSG00000135390,1280.223329,1203.35389,1710.101409,2865.880742,2135.111646,2598.120408,3310.368084,2860.604628
ENSG00000135392,539.0991892,479.4276732,455.514817,473.8478253,590.2139694,606.7039415,719.3856701,754.9128893
